@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for SPE GeoEnergy Hackathon 2021            @@@
Well name: P02
depth(m)	 transit time (micron/sec)
2137.3300	  261.355329
2137.4786	  261.201213
2137.6272	  263.410757
2137.7758	  266.517109
2137.9244	  262.191017
2138.0730	  266.590738
2138.2216	  265.521461
2138.3702	  268.435921
2138.5188	  259.088188
2138.6674	  268.846480
2138.8160	  262.544240
2138.9646	  261.889474
2139.1132	  261.256686
2139.2618	  264.710857
2139.4104	  263.657939
2139.5590	  265.737210
2139.7076	  254.753152
2139.8562	  260.742573
2140.0047	  264.113322
2140.1533	  254.856637
2140.3019	  258.837011
2140.4505	  258.256528
2140.5991	  256.124110
2140.7477	  258.640954
2140.8963	  262.951334
2141.0449	  254.945463
2141.1935	  261.221131
2141.3421	  252.102318
2141.4907	  262.092524
2141.6393	  263.736692
2141.7879	  260.046736
2141.9365	  265.040897
2142.0851	  256.593240
2142.2337	  260.560048
2142.3823	  254.435246
2142.5309	  261.722791
2142.6795	  253.286974
2142.8281	  252.138335
2142.9767	  262.358627
2143.1253	  253.587412
2143.2739	  209.308608
2143.4225	  205.454456
2143.5711	  202.032388
2143.7197	  210.267049
2143.8683	  207.331923
2144.0169	  202.927748
2144.1655	  203.566134
2144.3141	  203.282956
2144.4627	  203.097574
2144.6113	  207.887102
2144.7599	  198.866225
2144.9085	  206.096064
2145.0571	  202.471682
2145.2057	  206.602323
2145.3542	  200.132258
2145.5028	  210.222546
2145.6514	  201.037077
2145.8000	  193.544169
2145.9486	  205.585467
2146.0972	  202.200593
2146.2458	  198.142823
2146.3944	  203.114436
2146.5430	  202.627924
2146.6916	  202.333666
2146.8402	  205.354289
2146.9888	  201.642313
2147.1374	  209.393601
2147.2860	  208.180864
2147.4346	  206.160203
2147.5832	  207.309910
2147.7318	  210.987615
2147.8804	  200.973389
2148.0290	  207.872613
2148.1776	  203.648273
2148.3262	  209.125037
2148.4748	  222.655073
2148.6234	  206.328867
2148.7720	  206.999710
2148.9206	  213.653286
2149.0692	  211.440370
2149.2178	  209.320029
2149.3664	  201.787776
2149.5150	  209.589482
2149.6636	  204.592365
2149.8122	  201.971673
2149.9608	  208.193614
2150.1094	  204.500152
2150.2580	  209.495394
2150.4066	  205.582159
2150.5552	  205.168730
2150.7037	  203.299351
2150.8523	  209.823468
2151.0009	  241.792870
2151.1495	  248.156591
2151.2981	  250.657428
2151.4467	  240.860866
2151.5953	  252.582376
2151.7439	  253.222317
2151.8925	  247.672321
2152.0411	  243.571300
2152.1897	  251.568090
2152.3383	  241.454560
2152.4869	  246.605651
2152.6355	  243.393252
2152.7841	  245.908696
2152.9327	  252.397910
2153.0813	  248.925515
2153.2299	  242.587907
2153.3785	  244.089192
2153.5271	  243.932993
2153.6757	  240.024822
2153.8243	  251.032606
2153.9729	  233.197478
2154.1215	  251.189730
2154.2701	  250.535979
2154.4187	  249.522700
2154.5673	  241.365328
2154.7159	  242.205137
2154.8645	  239.554506
2155.0131	  212.906808
2155.1617	  217.731438
2155.3103	  216.693692
2155.4589	  217.374704
2155.6075	  214.329004
2155.7561	  209.688082
2155.9046	  220.199655
2156.0532	  218.598632
2156.2018	  222.038744
2156.3504	  222.088490
2156.4990	  219.398585
2156.6476	  222.746643
2156.7962	  214.495164
2156.9448	  217.555443
2157.0934	  220.956674
2157.2420	  228.994021
2157.3906	  215.575926
2157.5392	  211.385816
2157.6878	  218.869662
2157.8364	  221.374817
2157.9850	  215.727322
2158.1336	  220.581311
2158.2822	  211.070302
2158.4308	  214.646899
2158.5794	  221.354072
2158.7280	  219.913882
2158.8766	  249.810637
2159.0252	  258.218143
2159.1738	  252.487800
2159.3224	  250.681761
2159.4710	  253.094359
2159.6196	  249.055393
2159.7682	  257.781237
2159.9168	  255.668718
2160.0654	  252.318953
2160.2140	  250.784315
2160.3626	  252.800680
2160.5112	  247.463972
2160.6598	  251.984020
2160.8084	  249.198372
2160.9570	  247.419398
2161.1056	  246.941190
2161.2541	  248.269673
2161.4027	  246.640997
2161.5513	  251.975059
2161.6999	  250.335259
2161.8485	  250.549309
2161.9971	  248.358477
2162.1457	  252.705773
2162.2943	  256.922013
2162.4429	  249.968954
2162.5915	  250.105851
2162.7401	  254.781751
2162.8887	  254.006411
2163.0373	  250.696046
2163.1859	  250.743814
2163.3345	  246.580505
2163.4831	  253.466275
2163.6317	  253.547464
2163.7803	  258.391420
2163.9289	  255.986810
2164.0775	  252.151489
2164.2261	  247.178443
2164.3747	  245.452008
2164.5233	  249.332966
2164.6719	  254.142919
2164.8205	  258.475699
2164.9691	  254.557397
2165.1177	  251.830156
2165.2663	  258.976408
2165.4149	  253.193918
2165.5635	  246.068496
2165.7121	  253.872616
2165.8607	  254.611969
2166.0093	  253.824405
2166.1579	  246.411028
2166.3065	  255.352971
2166.4551	  261.547619
2166.6036	  260.700222
2166.7522	  260.804846
2166.9008	  254.341557
2167.0494	  257.921685
2167.1980	  256.325466
2167.3466	  263.319474
2167.4952	  259.869645
2167.6438	  259.851242
2167.7924	  255.604225
2167.9410	  253.314906
2168.0896	  253.470227
2168.2382	  257.108888
2168.3868	  259.863915
2168.5354	  263.298019
2168.6840	  255.523036
2168.8326	  254.704156
2168.9812	  260.572779
2169.1298	  266.552394
2169.2784	  262.077824
2169.4270	  256.311998
2169.5756	  255.455695
2169.7242	  264.812824
2169.8728	  258.194786
2170.0214	  259.723405
2170.1700	  258.022312
2170.3186	  260.492258
2170.4672	  259.163011
2170.6158	  249.259380
2170.7644	  242.022736
2170.9130	  245.155667
2171.0616	  248.415848
2171.2102	  248.191140
2171.3588	  248.477391
2171.5074	  247.686066
2171.6560	  242.895985
2171.8045	  253.486637
2171.9531	  240.521759
2172.1017	  247.061795
2172.2503	  250.087897
2172.3989	  248.128554
2172.5475	  250.000947
2172.6961	  250.308024
2172.8447	  243.091731
2172.9933	  260.646790
2173.1419	  260.113036
2173.2905	  238.886846
2173.4391	  248.523490
2173.5877	  239.359829
2173.7363	  248.142737
2173.8849	  245.002745
2174.0335	  250.498794
2174.1821	  244.334744
2174.3307	  242.819347
2174.4793	  236.914537
2174.6279	  228.150170
2174.7765	  230.531671
2174.9251	  233.235328
2175.0737	  238.098444
2175.2223	  234.703102
2175.3709	  238.702436
2175.5195	  236.160392
2175.6681	  234.326531
2175.8167	  232.419810
2175.9653	  234.116858
2176.1139	  225.426020
2176.2625	  235.578216
2176.4111	  224.426647
2176.5597	  238.553308
2176.7083	  239.654823
2176.8569	  237.228522
2177.0055	  232.675200
2177.1540	  234.820324
2177.3026	  234.857582
2177.4512	  227.353911
2177.5998	  231.570711
2177.7484	  234.867921
2177.8970	  230.716863
2178.0456	  234.346933
2178.1942	  236.740503
2178.3428	  282.921517
2178.4914	  282.649359
2178.6400	  272.472117
2178.7886	  278.053019
2178.9372	  270.228044
2179.0858	  279.081821
2179.2344	  270.185861
2179.3830	  283.147133
2179.5316	  274.347530
2179.6802	  271.021289
2179.8288	  272.986404
2179.9774	  275.782606
2180.1260	  272.352844
2180.2746	  269.032834
2180.4232	  273.418600
2180.5718	  269.795429
2180.7204	  274.039796
2180.8690	  275.002546
2181.0176	  281.482818
2181.1662	  279.494548
2181.3148	  279.536655
2181.4634	  271.784998
2181.6120	  285.558810
2181.7606	  274.634009
2181.9092	  275.406753
2182.0578	  275.044026
2182.2064	  273.514473
2182.3549	  239.233132
2182.5035	  242.368822
2182.6521	  238.366039
2182.8007	  232.930388
2182.9493	  235.114794
2183.0979	  238.745742
2183.2465	  237.767100
2183.3951	  245.271874
2183.5437	  236.756633
2183.6923	  235.515605
2183.8409	  234.235206
2183.9895	  241.873940
2184.1381	  239.767654
2184.2867	  235.918028
2184.4353	  235.981209
2184.5839	  229.543556
