@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for SPE GeoEnergy Hackathon 2021            @@@
Well name: E06
depth(m)	 transit time (micron/sec)
1968.8500	  240.278594
1969.0033	  234.303175
1969.1566	  240.931923
1969.3099	  236.383687
1969.4631	  241.749555
1969.6164	  239.087481
1969.7697	  241.160151
1969.9230	  233.401367
1970.0763	  237.155938
1970.2296	  239.193724
1970.3829	  242.083897
1970.5362	  244.097762
1970.6894	  241.163273
1970.8427	  236.495413
1970.9960	  226.678282
1971.1493	  223.720118
1971.3026	  229.630515
1971.4559	  218.148813
1971.6092	  218.765295
1971.7624	  229.293803
1971.9157	  217.721614
1972.0690	  224.859970
1972.2223	  223.740216
1972.3756	  223.491908
1972.5289	  220.894041
1972.6822	  222.184882
1972.8355	  231.130909
1972.9887	  220.130996
1973.1420	  221.681525
1973.2953	  225.213412
1973.4486	  221.397818
1973.6019	  220.578823
1973.7552	  222.075496
1973.9085	  223.248580
1974.0617	  219.806337
1974.2150	  222.434365
1974.3683	  227.762277
1974.5216	  226.424621
1974.6749	  227.240648
1974.8282	  224.351555
1974.9815	  243.629472
1975.1347	  246.704050
1975.2880	  246.011006
1975.4413	  239.013785
1975.5946	  244.103807
1975.7479	  248.597595
1975.9012	  245.259636
1976.0545	  243.469851
1976.2078	  255.812538
1976.3610	  251.490831
1976.5143	  251.940281
1976.6676	  237.382568
1976.8209	  248.787295
1976.9742	  254.729321
1977.1275	  238.237548
1977.2808	  247.717146
1977.4340	  253.291864
1977.5873	  243.331208
1977.7406	  244.961176
1977.8939	  247.851946
1978.0472	  249.986756
1978.2005	  243.749234
1978.3538	  244.713201
1978.5071	  250.742791
1978.6603	  241.512934
1978.8136	  249.811631
1978.9669	  236.746498
1979.1202	  244.635566
1979.2735	  242.676256
1979.4268	  238.784141
1979.5801	  246.583852
1979.7333	  241.896783
1979.8866	  242.760780
1980.0399	  240.487818
1980.1932	  242.331496
1980.3465	  245.141043
1980.4998	  246.900048
1980.6531	  235.719971
1980.8064	  242.356457
1980.9596	  246.766136
1981.1129	  242.905179
1981.2662	  234.096904
1981.4195	  236.708344
1981.5728	  237.851959
1981.7261	  237.644090
1981.8794	  243.393028
1982.0326	  245.656656
1982.1859	  237.022350
1982.3392	  247.522557
1982.4925	  243.233774
1982.6458	  243.345609
1982.7991	  242.853293
1982.9524	  247.136923
1983.1057	  237.870425
1983.2589	  238.848751
1983.4122	  234.644496
1983.5655	  238.640649
1983.7188	  238.286406
1983.8721	  246.721177
1984.0254	  237.976562
1984.1787	  240.271474
1984.3319	  249.587180
1984.4852	  243.575837
1984.6385	  243.030621
1984.7918	  240.700108
1984.9451	  242.809255
1985.0984	  237.431621
1985.2517	  229.843658
1985.4049	  252.223721
1985.5582	  244.234358
1985.7115	  242.179824
1985.8648	  235.132423
1986.0181	  246.917872
1986.1714	  246.727423
1986.3247	  234.975351
1986.4780	  240.049804
1986.6312	  238.605002
1986.7845	  243.473836
1986.9378	  241.859494
1987.0911	  254.728079
1987.2444	  241.996696
1987.3977	  244.618488
1987.5510	  245.479794
1987.7042	  239.718293
1987.8575	  252.928240
1988.0108	  252.089222
1988.1641	  248.706216
1988.3174	  253.188125
1988.4707	  245.199288
1988.6240	  248.637818
1988.7773	  245.135628
1988.9305	  251.055969
1989.0838	  248.968376
1989.2371	  250.091063
1989.3904	  248.841359
1989.5437	  259.793910
1989.6970	  252.594645
1989.8503	  248.807268
1990.0035	  251.614133
1990.1568	  252.003892
1990.3101	  250.640973
1990.4634	  244.632017
1990.6167	  240.031552
1990.7700	  247.033871
1990.9233	  250.875343
1991.0766	  236.276380
1991.2298	  234.819024
1991.3831	  233.023244
1991.5364	  242.054539
1991.6897	  229.200413
1991.8430	  227.549996
1991.9963	  241.303001
1992.1496	  239.329537
1992.3028	  235.451983
1992.4561	  236.213861
1992.6094	  232.828313
1992.7627	  231.756059
1992.9160	  232.865058
1993.0693	  236.206095
1993.2226	  236.028028
1993.3759	  229.069717
1993.5291	  238.366813
1993.6824	  236.956445
1993.8357	  229.167809
1993.9890	  236.581517
1994.1423	  227.709910
1994.2956	  232.289248
1994.4489	  237.307234
1994.6021	  240.996662
1994.7554	  235.750914
1994.9087	  227.057742
1995.0620	  263.763808
1995.2153	  258.972972
1995.3686	  263.763381
1995.5219	  261.778487
1995.6752	  265.727737
1995.8284	  264.378769
1995.9817	  259.544356
1996.1350	  268.474214
1996.2883	  265.435166
1996.4416	  267.163115
1996.5949	  266.270845
1996.7482	  259.669203
1996.9014	  264.276979
1997.0547	  258.557465
1997.2080	  259.290687
1997.3613	  261.345688
1997.5146	  261.609172
1997.6679	  262.989994
1997.8212	  262.088188
1997.9744	  263.849334
1998.1277	  263.250217
1998.2810	  268.676539
1998.4343	  256.748612
1998.5876	  264.187002
1998.7409	  257.859274
1998.8942	  266.554967
1999.0475	  246.439119
