@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for SPE GeoEnergy Hackathon 2021            @@@
Well name: I02
depth(m)	 transit time (micron/sec)
2017.7900	  232.763285
2017.8581	  233.375255
2017.9262	  225.447232
2017.9943	  237.962389
2018.0625	  235.482800
2018.1306	  240.090190
2018.1987	  244.399285
2018.2668	  240.141967
2018.3349	  239.507224
2018.4030	  238.302115
2018.4712	  234.272836
2018.5393	  234.665671
2018.6074	  231.228932
2018.6755	  236.427539
2018.7436	  272.090715
2018.8117	  264.187347
2018.8799	  266.361956
2018.9480	  265.977856
2019.0161	  263.310385
2019.0842	  263.631937
2019.1523	  265.409616
2019.2204	  264.446508
2019.2886	  269.350066
2019.3567	  269.422645
2019.4248	  264.650728
2019.4929	  267.210541
2019.5610	  262.040743
2019.6291	  263.969249
2019.6973	  266.131418
2019.7654	  272.404669
2019.8335	  264.276140
2019.9016	  263.096479
2019.9697	  265.896776
2020.0378	  267.617355
2020.1060	  268.644112
2020.1741	  263.841753
2020.2422	  272.300408
2020.3103	  270.686053
2020.3784	  262.770195
2020.4465	  259.066004
2020.5146	  265.800149
2020.5828	  269.396841
2020.6509	  269.435203
2020.7190	  272.150162
2020.7871	  278.490656
2020.8552	  266.441855
2020.9233	  272.901913
2020.9915	  269.124790
2021.0596	  272.614343
2021.1277	  279.279307
2021.1958	  274.957308
2021.2639	  268.488098
2021.3320	  266.502116
2021.4002	  265.534505
2021.4683	  269.377886
2021.5364	  263.019640
2021.6045	  269.639282
2021.6726	  267.373693
2021.7407	  269.072468
2021.8089	  268.903680
2021.8770	  277.518156
2021.9451	  272.376665
2022.0132	  269.527578
2022.0813	  262.728979
2022.1494	  268.584598
2022.2176	  272.228810
2022.2857	  266.976908
2022.3538	  264.875013
2022.4219	  264.027633
2022.4900	  272.024990
2022.5581	  262.247445
2022.6263	  271.513965
2022.6944	  261.510424
2022.7625	  262.251144
2022.8306	  270.732587
2022.8987	  267.941663
2022.9668	  276.032244
2023.0349	  263.454244
2023.1031	  270.905452
2023.1712	  259.235276
2023.2393	  264.800434
2023.3074	  266.002194
2023.3755	  263.075562
2023.4436	  268.051462
2023.5118	  269.292264
2023.5799	  269.564817
2023.6480	  272.051683
2023.7161	  273.116029
2023.7842	  266.188005
2023.8523	  268.409394
2023.9205	  263.882609
2023.9886	  271.346692
2024.0567	  260.116051
2024.1248	  258.707223
2024.1929	  259.811747
2024.2610	  262.364913
2024.3292	  264.932257
2024.3973	  261.134651
2024.4654	  263.998264
2024.5335	  265.163805
2024.6016	  259.342713
2024.6697	  255.036146
2024.7379	  258.280344
2024.8060	  255.264738
2024.8741	  259.342834
2024.9422	  253.555025
2025.0103	  260.199168
2025.0784	  265.450792
2025.1466	  261.121808
2025.2147	  261.708152
2025.2828	  260.709216
2025.3509	  254.659431
2025.4190	  261.031652
2025.4871	  256.402182
2025.5553	  263.984927
2025.6234	  257.095481
2025.6915	  259.075408
2025.7596	  263.458898
